B(m),S(m),GU,Density(t/m3),Diameter (Inches),Bench(m),Overdrilling,Stemming,D. Expl (ton/m3),Kg. Expl,Powder Factor(kg/ton),P80,P50,P20
9.3,10.7,4,2.45,10.625,15,2,6.5,1.3,709,194,83.4,47.2,12.3
9.3,10.7,4,2.45,10.625,15,2,6.5,1.3,709,194,91.8,51,12.81
9.3,10.7,3,2.35,10.625,15,2,6.5,1.3,709,202,86.3,47.9,9.34
9.3,10.7,3,2.35,10.625,15,2,6.5,1.3,709,202,88.3,47.9,9.76
9.3,10.7,4,2.45,10.625,15,2,6.5,1.3,709,194,80.5,44.3,7.9
8,8,5,2.48,10.625,14,0,7,1.2,436,196,74.1,39.9,4.21
8.8,10.2,4,2.45,10.625,15,2,6,1.3,743,225,70.3,38.6,7.61
8.8,10.2,4,2.45,10.625,15,2,6,1.3,743,225,75.6,40.7,8.04
9,12,4,2.45,10.625,15,2,6,1.3,743,187,63.4,37.8,6.7
9,12,4,2.45,10.625,15,2,6,1.3,743,187,80.6,45.6,8.28
9,12,3,2.35,10.625,15,2,6,1.3,743,195,94.4,51.6,14.08
9,12,4,2.45,10.625,15,2,6,1.3,743,187,76.6,45.7,11.89
9,12,4,2.45,10.625,15,2,6,1.3,743,187,86,51,13.42
9,12,4,2.45,10.625,15,2,6,1.3,743,187,82.3,47.8,11.5
9,12,4,2.45,10.625,15,2,6,1.3,743,187,66.2,39.5,8.35
9,12,4,2.45,10.625,15,2,6,1.3,743,187,87.3,49.1,7.8
9,12,3,2.35,10.625,15,2,6,1.3,743,195,71.6,42.2,5.97
9,12,3,2.35,10.625,15,2,6,1.3,743,195,72.3,41.5,4.74
10,13,4,2.45,10.625,15,2,6,1.3,743,155,61.9,37.4,7.07
10,13,3,2.35,10.625,15,2,6,1.3,743,162,60.9,36.8,6.54
10,13,4,2.45,10.625,15,2,6,1.3,743,155,69.5,40.3,5.66
10,13,4,2.45,10.625,15,2,6,1.3,743,155,84,48.1,8.19
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,260.5,135.9,43.6
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,225.9,119.8,37.3
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,237.6,131.6,42.3
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,222.9,118.1,36.8
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,232.1,128.8,41.3
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,216.2,119,37.8
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,236.3,121.3,38.5
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,161,85.1,24.8
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,218.8,127.6,40.8
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,218.5,119.5,37.5
7,8,5,2.48,10.625,15,2,7.5,1.22,663,318,184.4,99.8,30.3
7,8,6,2.57,10.625,15,2,7.5,1.22,663,307,180,103.2,31.6
8.8,10.2,5,2.48,10.625,15,2,6,1.22,768,230,276.6,152.6,54.6
8.8,10.2,6,2.57,10.625,15,2,6,1.22,768,222,234.2,122.9,42.8
8.8,10.2,6,2.57,10.625,15,2,6,1.22,768,222,178.2,85.2,26.1
6,7,6,2.57,10.625,15,2,6,1.22,719,444,194.8,102.7,24.1
6,7,5,2.48,10.625,15,2,6.7,1.22,719,460,140.3,79.8,21.2
6,7,5,2.48,10.625,15,2,6.7,1.22,719,460,272.9,141.7,44.2
6,7,5,2.48,10.625,15,2,6.7,1.22,719,460,192.1,91.8,24.7
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,314.7,179.3,62.4
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,348,199,60.3
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,322.1,179.2,51.6
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,220.9,108.7,31.4
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,288.8,152.1,36.1
6,7,6,2.57,10.625,15,2,6.7,1.22,719,444,241.2,127.6,38.5
